Date,BTCUSDT Close,ETHUSDT Close
2022-08-09,23828.96000000,1778.53000000
2022-08-10,22863.75000000,1669.49000000
2022-08-11,24324.38000000,1880.37000000
2022-08-12,24010.11000000,1903.98000000
2022-08-13,24796.53000000,1996.57000000
2022-08-14,24570.02000000,1985.82000000
2022-08-15,24867.39000000,1986.33000000
2022-08-16,24083.42000000,1887.71000000
2022-08-17,24006.66000000,1896.00000000
2022-08-18,23433.31000000,1848.65000000
2022-08-19,22769.05000000,1818.02000000
2022-08-20,21140.34000000,1627.65000000
2022-08-21,21208.72000000,1585.57000000
2022-08-22,21414.86000000,1594.95000000
2022-08-23,21239.18000000,1609.26000000
2022-08-24,21264.01000000,1614.44000000
2022-08-25,21468.93000000,1669.73000000
2022-08-26,21552.17000000,1687.15000000
2022-08-27,20203.18000000,1501.86000000
2022-08-28,19990.58000000,1491.48000000
2022-08-29,19868.14000000,1456.88000000
2022-08-30,20273.36000000,1544.20000000
2022-08-31,20402.87000000,1606.54000000
2022-09-01,20022.97000000,1549.91000000
2022-09-02,20157.01000000,1595.82000000
2022-09-03,19899.69000000,1561.54000000
2022-09-04,19772.79000000,1552.16000000
2022-09-05,19884.91000000,1575.48000000
2022-09-06,19790.01000000,1640.38000000
2022-09-07,18745.85000000,1510.37000000
2022-09-08,19218.40000000,1629.79000000
2022-09-09,19950.73000000,1672.96000000
2022-09-10,21303.07000000,1733.50000000
2022-09-11,21542.42000000,1760.87000000
2022-09-12,21656.87000000,1726.80000000
2022-09-13,22231.58000000,1716.12000000
2022-09-14,20323.04000000,1602.92000000
2022-09-15,20023.59000000,1605.53000000
2022-09-16,19744.77000000,1473.56000000
2022-09-17,19884.93000000,1440.57000000
2022-09-18,20000.33000000,1451.81000000
2022-09-19,18776.93000000,1294.55000000
2022-09-20,19364.19000000,1355.00000000
2022-09-21,19021.17000000,1337.21000000
2022-09-22,18690.39000000,1262.91000000
2022-09-23,19394.62000000,1340.77000000
2022-09-24,19121.92000000,1321.65000000
2022-09-25,19053.67000000,1329.38000000
2022-09-26,18868.39000000,1303.23000000
2022-09-27,20099.04000000,1385.66000000
2022-09-28,18745.65000000,1287.23000000
2022-09-29,19507.50000000,1342.00000000
2022-09-30,19398.12000000,1327.49000000
2022-10-01,19416.05000000,1329.61000000
2022-10-02,19310.83000000,1309.55000000
2022-10-03,19168.29000000,1291.80000000
2022-10-04,19598.27000000,1329.00000000
2022-10-05,20189.83000000,1353.95000000
2022-10-06,20355.69000000,1372.56000000
2022-10-07,19981.88000000,1355.19000000
2022-10-08,19504.78000000,1331.05000000
2022-10-09,19366.58000000,1310.69000000
2022-10-10,19452.99000000,1323.18000000
2022-10-11,19044.74000000,1278.37000000
2022-10-12,19048.73000000,1283.71000000
2022-10-13,19089.16000000,1286.47000000
2022-10-14,19816.85000000,1329.76000000
2022-10-15,19200.99000000,1300.26000000
2022-10-16,19123.43000000,1283.63000000
2022-10-17,19186.38000000,1301.59000000
2022-10-18,19547.90000000,1333.31000000
2022-10-19,19281.63000000,1305.16000000
