Date,BTCUSDT Close,LTCUSDT Close
2021-11-18,59840.01000000,221.60000000
2021-11-19,55900.00000000,202.00000000
2021-11-20,58513.10000000,221.20000000
2021-11-21,58674.67000000,221.60000000
2021-11-22,57383.39000000,215.00000000
2021-11-23,56947.82000000,210.70000000
2021-11-24,56399.99000000,210.70000000
2021-11-25,57749.99000000,219.70000000
2021-11-26,57900.91000000,216.20000000
2021-11-27,54347.07000000,198.00000000
2021-11-28,54137.31000000,189.20000000
2021-11-29,57359.02000000,198.70000000
2021-11-30,57092.92000000,203.30000000
2021-12-01,57362.01000000,212.50000000
2021-12-02,56300.12000000,202.20000000
2021-12-03,56323.01000000,200.20000000
2021-12-04,52000.00000000,175.50000000
2021-12-05,49170.79000000,161.60000000
2021-12-06,49018.47000000,154.60000000
2021-12-07,50945.03000000,159.90000000
2021-12-08,50110.91000000,159.90000000
2021-12-09,49513.35000000,159.70000000
2021-12-10,48373.48000000,153.70000000
2021-12-11,48296.99000000,151.80000000
2021-12-12,49305.70000000,156.40000000
2021-12-13,48873.19000000,154.20000000
2021-12-14,46952.00000000,145.70000000
2021-12-15,48262.41000000,150.20000000
2021-12-16,48819.60000000,153.20000000
2021-12-17,47766.07000000,149.70000000
2021-12-18,46283.05000000,146.50000000
2021-12-19,47712.38000000,154.30000000
2021-12-20,46687.22000000,154.80000000
2021-12-21,47928.47000000,153.70000000
2021-12-22,49249.00000000,156.20000000
2021-12-23,48524.11000000,157.30000000
2021-12-24,51029.99000000,165.60000000
2021-12-25,50844.14000000,161.00000000
2021-12-26,49675.56000000,153.70000000
2021-12-27,51009.02000000,156.50000000
2021-12-28,49828.06000000,151.20000000
2021-12-29,48001.01000000,148.60000000
2021-12-30,46504.00000000,144.90000000
2021-12-31,47201.85000000,148.30000000
2022-01-01,46813.20000000,147.80000000
2022-01-02,47329.47000000,150.30000000
2022-01-03,46793.26000000,149.60000000
2022-01-04,46313.97000000,147.70000000
2022-01-05,46422.55000000,148.60000000
2022-01-06,42835.00000000,133.90000000
2022-01-07,41803.11000000,130.70000000
2022-01-08,41810.91000000,132.20000000
2022-01-09,41833.89000000,130.50000000
2022-01-10,41967.59000000,130.00000000
2022-01-11,42277.98000000,129.30000000
2022-01-12,42605.02000000,131.50000000
2022-01-13,43509.93000000,139.50000000
2022-01-14,42623.87000000,138.30000000
2022-01-15,42927.96000000,147.20000000
2022-01-16,42977.22000000,145.70000000
2022-01-17,42647.40000000,147.60000000
2022-01-18,42040.54000000,147.50000000
2022-01-19,41706.41000000,136.90000000
2022-01-20,41924.97000000,138.80000000
2022-01-21,38465.65000000,122.30000000
2022-01-22,36341.64000000,113.20000000
2022-01-23,35051.00000000,107.10000000
2022-01-24,35338.26000000,108.80000000
2022-01-25,36424.49000000,108.30000000
2022-01-26,37389.76000000,108.60000000
2022-01-27,35745.70000000,104.10000000
2022-01-28,37351.83000000,108.00000000
2022-01-29,37737.73000000,109.50000000
2022-01-30,37917.13000000,109.40000000
2022-01-31,37025.68000000,105.80000000
2022-02-01,38596.82000000,111.40000000
2022-02-02,38552.87000000,114.60000000
2022-02-03,36820.83000000,107.80000000
2022-02-04,37297.62000000,108.90000000
2022-02-05,41447.85000000,121.50000000
2022-02-06,41444.04000000,122.30000000
2022-02-07,42818.99000000,127.20000000
2022-02-08,44178.57000000,140.70000000
2022-02-09,43343.28000000,134.20000000
2022-02-10,43775.42000000,137.10000000
2022-02-11,43343.71000000,132.70000000
2022-02-12,42288.46000000,124.40000000
2022-02-13,42230.00000000,125.80000000
2022-02-14,41916.43000000,123.50000000
2022-02-15,43567.76000000,127.80000000
2022-02-16,43971.26000000,129.30000000
2022-02-17,43583.05000000,126.40000000
2022-02-18,40691.98000000,116.80000000
2022-02-19,40125.12000000,116.40000000
2022-02-20,39794.59000000,113.70000000
2022-02-21,38919.25000000,112.90000000
2022-02-22,36591.06000000,101.40000000
2022-02-23,37750.67000000,106.40000000
2022-02-24,34936.89000000,98.30000000
2022-02-25,38923.36000000,105.00000000
2022-02-26,39390.33000000,111.20000000
2022-02-27,38606.81000000,105.80000000
2022-02-28,37793.80000000,103.20000000
2022-03-01,43147.71000000,112.50000000
2022-03-02,44324.65000000,114.10000000
2022-03-03,43305.77000000,110.20000000
2022-03-04,41449.94000000,107.60000000
2022-03-05,39050.62000000,101.00000000
2022-03-06,39300.54000000,103.90000000
2022-03-07,37869.45000000,98.90000000
2022-03-08,38695.87000000,100.50000000
2022-03-09,41217.73000000,105.40000000
2022-03-10,40768.51000000,104.50000000
2022-03-11,38714.97000000,101.10000000
2022-03-12,39088.94000000,106.40000000
2022-03-13,39194.08000000,106.80000000
2022-03-14,38144.05000000,102.00000000
2022-03-15,38768.41000000,105.00000000
2022-03-16,39160.00000000,106.60000000
2022-03-17,41014.71000000,110.00000000
2022-03-18,40522.19000000,108.70000000
2022-03-19,41793.66000000,112.20000000
2022-03-20,41942.34000000,116.40000000
2022-03-21,40832.93000000,114.20000000
2022-03-22,42236.46000000,119.40000000
2022-03-23,42073.94000000,119.90000000
2022-03-24,42712.87000000,120.70000000
2022-03-25,43968.16000000,126.50000000
2022-03-26,44394.03000000,124.30000000
2022-03-27,44713.01000000,126.60000000
