Date,BTCUSDT Close,ETHUSDT Close,ADAUSDT Close,SOLUSDT Close,SHIBUSDT Close,DOGEUSDT Close
2021-09-02,49561.24000000,3763.31000000,3.03100000,113.70000000,0.00000726,0.30110000
2021-09-03,49476.83000000,3806.83000000,2.97700000,135.35000000,0.00000706,0.29600000
2021-09-04,50277.43000000,3917.76000000,2.96200000,148.34000000,0.00000716,0.29540000
2021-09-05,49663.21000000,3845.00000000,2.85700000,140.63000000,0.00000734,0.29790000
2021-09-06,51595.29000000,3904.98000000,2.87600000,140.74000000,0.00000748,0.31030000
2021-09-07,52654.16000000,3913.67000000,2.82800000,173.45000000,0.00000714,0.30450000
2021-09-08,46450.41000000,3430.32000000,2.45700000,173.03000000,0.00000595,0.25480000
2021-09-09,46001.11000000,3469.88000000,2.42500000,211.25000000,0.00000710,0.25250000
2021-09-10,46719.71000000,3465.02000000,2.55800000,194.18000000,0.00000737,0.25640000
2021-09-11,45191.88000000,3241.63000000,2.39500000,181.48000000,0.00000681,0.24050000
2021-09-12,45316.28000000,3327.54000000,2.59200000,179.04000000,0.00000680,0.24200000
2021-09-13,44617.79000000,3257.70000000,2.41300000,154.95000000,0.00000666,0.23880000
2021-09-14,45186.85000000,3291.33000000,2.39800000,167.43000000,0.00000648,0.23620000
2021-09-15,47075.48000000,3396.19000000,2.38300000,157.27000000,0.00000663,0.24050000
2021-09-16,47615.08000000,3542.91000000,2.44100000,155.16000000,0.00000667,0.24220000
2021-09-17,47899.83000000,3563.03000000,2.42000000,148.64000000,0.00000913,0.25140000
2021-09-18,47924.57000000,3451.42000000,2.37300000,144.83000000,0.00000829,0.24250000
2021-09-19,47844.88000000,3413.47000000,2.35000000,164.33000000,0.00000776,0.23920000
2021-09-20,45542.76000000,3187.09000000,2.16500000,145.12000000,0.00000757,0.22190000
2021-09-21,42683.01000000,2998.78000000,2.09700000,136.43000000,0.00000702,0.20870000
2021-09-22,42052.09000000,2867.12000000,2.04800000,128.95000000,0.00000700,0.20260000
2021-09-23,44074.57000000,3118.50000000,2.28800000,148.58000000,0.00000724,0.22490000
2021-09-24,44283.03000000,3074.93000000,2.28100000,144.86000000,0.00000755,0.22240000
2021-09-25,42608.11000000,2912.15000000,2.36000000,138.59000000,0.00000742,0.21090000
2021-09-26,42212.40000000,2866.52000000,2.25800000,131.03000000,0.00000713,0.20540000
2021-09-27,44038.75000000,3131.91000000,2.23900000,139.24000000,0.00000716,0.20710000
2021-09-28,42558.40000000,2948.97000000,2.15300000,138.12000000,0.00000703,0.20150000
2021-09-29,42199.99000000,2895.95000000,2.07700000,138.81000000,0.00000712,0.19970000
2021-09-30,43591.23000000,3027.46000000,2.11900000,139.91000000,0.00000713,0.20340000
2021-10-01,43635.79000000,3002.98000000,2.10000000,139.52000000,0.00000725,0.20260000
2021-10-02,47520.84000000,3267.31000000,2.20400000,156.69000000,0.00000744,0.21680000
2021-10-03,47898.66000000,3404.97000000,2.26400000,170.62000000,0.00000806,0.21910000
2021-10-04,47468.79000000,3335.31000000,2.17200000,167.13000000,0.00000825,0.21600000
2021-10-05,49306.68000000,3387.96000000,2.21800000,166.90000000,0.00001379,0.24240000
2021-10-06,51513.81000000,3486.63000000,2.21000000,157.96000000,0.00002055,0.25370000
2021-10-07,54810.94000000,3519.54000000,2.16300000,152.03000000,0.00003042,0.23990000
2021-10-08,53815.22000000,3574.31000000,2.26800000,154.44000000,0.00002186,0.24380000
2021-10-09,54560.58000000,3579.48000000,2.24900000,160.02000000,0.00002804,0.24570000
2021-10-10,55049.15000000,3530.53000000,2.25800000,155.41000000,0.00002642,0.24520000
2021-10-11,56507.09000000,3518.15000000,2.22600000,151.47000000,0.00002669,0.23580000
2021-10-12,56711.35000000,3486.21000000,2.10300000,143.20000000,0.00003113,0.22400000
2021-10-13,56277.78000000,3501.88000000,2.13300000,149.28000000,0.00003001,0.22920000
2021-10-14,58065.99000000,3643.00000000,2.17400000,149.65000000,0.00002966,0.23610000
2021-10-15,59431.71000000,3820.92000000,2.17500000,150.85000000,0.00002665,0.23340000
2021-10-16,61655.99000000,3842.95000000,2.21300000,158.79000000,0.00002499,0.23680000
2021-10-17,61115.85000000,3878.16000000,2.17900000,162.96000000,0.00002585,0.23690000
2021-10-18,62123.87000000,3852.77000000,2.14300000,159.92000000,0.00002881,0.23790000
2021-10-19,62588.86000000,3823.01000000,2.15400000,158.50000000,0.00002834,0.25420000
2021-10-20,63844.67000000,3844.24000000,2.09300000,155.77000000,0.00002771,0.24280000
2021-10-21,65069.02000000,4185.82000000,2.22600000,184.22000000,0.00002872,0.25290000
2021-10-22,63237.90000000,4155.99000000,2.18400000,201.71000000,0.00002757,0.24550000
2021-10-23,61236.52000000,4023.90000000,2.15800000,202.84000000,0.00002795,0.24630000
2021-10-24,61227.76000000,4132.89000000,2.15600000,196.56000000,0.00003556,0.25040000
2021-10-25,62084.26000000,4134.69000000,2.13600000,201.68000000,0.00003950,0.26850000
2021-10-26,62758.02000000,4224.89000000,2.17900000,208.63000000,0.00004154,0.26470000
2021-10-27,60714.34000000,4209.72000000,2.14400000,202.83000000,0.00005039,0.25890000
2021-10-28,58839.80000000,3995.64000000,1.93300000,186.84000000,0.00008665,0.23580000
2021-10-29,61642.99000000,4379.83000000,2.02000000,201.60000000,0.00006209,0.29370000
2021-10-30,61679.95000000,4342.72000000,1.99100000,197.04000000,0.00007643,0.28550000
2021-10-31,61697.84000000,4370.49000000,1.99100000,191.91000000,0.00006563,0.26780000
2021-11-01,59922.98000000,4190.66000000,1.92600000,200.89000000,0.00007286,0.26620000
2021-11-02,61074.50000000,4318.83000000,1.94700000,203.92000000,0.00006991,0.27040000
2021-11-03,63210.41000000,4588.75000000,1.95900000,229.60000000,0.00006637,0.27160000
2021-11-04,62420.00000000,4556.41000000,2.04100000,238.10000000,0.00005906,0.26920000
2021-11-05,62203.80000000,4542.40000000,2.00100000,242.93000000,0.00004699,0.26170000
2021-11-06,61109.52000000,4491.01000000,2.02300000,239.79000000,0.00006103,0.26360000
2021-11-07,62133.04000000,4549.99000000,1.99000000,254.18000000,0.00005756,0.26240000
2021-11-08,65199.99000000,4720.51000000,2.03700000,248.29000000,0.00005472,0.26920000
2021-11-09,68490.00000000,4814.00000000,2.14400000,246.72000000,0.00005612,0.28360000
2021-11-10,66487.23000000,4691.48000000,2.20600000,236.60000000,0.00005427,0.27040000
2021-11-11,64746.18000000,4636.68000000,2.10400000,239.04000000,0.00005167,0.26110000
2021-11-12,64826.63000000,4774.35000000,2.08000000,232.24000000,0.00005360,0.26530000
2021-11-13,63773.94000000,4639.50000000,2.04500000,225.54000000,0.00005154,0.25640000
2021-11-14,64637.81000000,4628.63000000,2.05000000,237.20000000,0.00005372,0.26130000
