Date,Open,High,Low,Close,Volume,OpenInterest
1643929200.0,36933.16000000,37387.00000000,36865.49000000,37311.61000000,1386.22097000,0.0
1643932800.0,37311.98000000,37343.77000000,37116.97000000,37180.53000000,1448.75667000,0.0
1643936400.0,37180.52000000,37239.94000000,37026.73000000,37168.60000000,1084.34384000,0.0
1643940000.0,37168.59000000,37445.50000000,37140.19000000,37326.25000000,1544.84160000,0.0
1643943600.0,37326.26000000,37420.51000000,37266.31000000,37297.62000000,977.10595000,0.0
1643947200.0,37297.61000000,37356.00000000,37245.00000000,37289.34000000,1062.99863000,0.0
1643950800.0,37289.35000000,37689.00000000,37260.01000000,37547.01000000,2630.83036000,0.0
1643954400.0,37547.01000000,38025.60000000,37547.00000000,37990.02000000,2508.64163000,0.0
1643958000.0,37990.02000000,38222.00000000,37838.13000000,37869.31000000,1825.08534000,0.0
1643961600.0,37869.31000000,38047.98000000,37850.01000000,37957.32000000,1418.59898000,0.0
1643965200.0,37957.32000000,38140.39000000,37900.00000000,38014.01000000,1364.89230000,0.0
1643968800.0,38014.00000000,38236.08000000,37763.74000000,37879.74000000,1763.02639000,0.0
1643972400.0,37879.74000000,37994.60000000,37810.00000000,37810.00000000,1269.60798000,0.0
1643976000.0,37810.00000000,38060.55000000,37810.00000000,37956.67000000,995.06572000,0.0
1643979600.0,37956.67000000,38200.00000000,37362.72000000,37421.40000000,3517.48646000,0.0
1643983200.0,37421.41000000,38070.65000000,37290.20000000,37953.20000000,3218.65606000,0.0
1643986800.0,37953.20000000,39819.91000000,37886.90000000,39490.87000000,12542.88189000,0.0
1643990400.0,39490.88000000,40600.00000000,39442.89000000,40268.51000000,9229.66749000,0.0
1643994000.0,40268.51000000,40557.51000000,40180.00000000,40520.46000000,3408.59177000,0.0
1643997600.0,40520.45000000,40662.01000000,40278.79000000,40469.27000000,2093.46861000,0.0
1644001200.0,40469.27000000,40877.00000000,40366.99000000,40727.91000000,2345.90165000,0.0
1644004800.0,40727.92000000,40884.96000000,40456.25000000,40588.00000000,2561.73047000,0.0
1644008400.0,40588.00000000,40631.89000000,40426.23000000,40624.15000000,1506.16471000,0.0
1644012000.0,40624.16000000,40666.98000000,40382.84000000,40641.74000000,1145.45021000,0.0
1644015600.0,40641.74000000,41772.33000000,40562.29000000,41574.25000000,3240.16403000,0.0
1644019200.0,41571.70000000,41913.69000000,41342.98000000,41471.41000000,4759.06054000,0.0
